,index,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg__estimator,param_reg__estimator__alpha,param_reg__estimator__l1_ratio,param_reg__estimator__penalty,param_reg__estimator__C,param_reg__estimator__kernel,param_reg__estimator__algorithm,param_reg__estimator__n_neighbors,param_reg__estimator__p,param_reg__estimator__weights,param_reg__estimator__criterion,param_reg__estimator__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model
19,19,0.12952251434326173,0.026701512338873003,0.033383750915527345,0.012081881343014134,ElasticNet(),0.5,0.25,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 0.5, 'reg__estimator__l1_ratio': 0.25}",-0.2851512434616808,-0.2772871671756368,-0.2779596695989549,-0.2889165224198998,-0.294790099626011,0.2848209404564367,0.0066347841542773395,88,ElasticNet()
20,20,0.11973881721496582,0.0194899236581029,0.027770566940307616,0.004002870613132775,ElasticNet(),0.5,0.5,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 0.5, 'reg__estimator__l1_ratio': 0.5}",-0.3808586375314488,-0.3596758123453334,-0.3614129240821867,-0.3647857575974921,-0.4050283725678235,0.3743523008248569,0.017074538522715958,100,ElasticNet()
21,21,0.1381826877593994,0.031218272804838472,0.04010300636291504,0.009354722263648555,ElasticNet(),0.5,0.75,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 0.5, 'reg__estimator__l1_ratio': 0.75}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,ElasticNet()
22,22,2.0724844932556152,0.14950493418261226,0.024139213562011718,0.0024148388100706736,ElasticNet(),0.75,0.0,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 0.75, 'reg__estimator__l1_ratio': 0.0}",-0.1699809563395533,-0.175637473063713,-0.18477936530659278,-0.1661379319731599,-0.1691118169033385,0.1731295087172715,0.006587054253162872,36,ElasticNet()
23,23,0.1237865924835205,0.032103079150464627,0.02923417091369629,0.008480781189237842,ElasticNet(),0.75,0.25,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 0.75, 'reg__estimator__l1_ratio': 0.25}",-0.3435037816301106,-0.3237299990065393,-0.3237163212219462,-0.33311047960578993,-0.35976681005231487,0.3367654783033402,0.013623723650025114,95,ElasticNet()
24,24,0.1288203239440918,0.01994753216670103,0.030684709548950195,0.005763120189650298,ElasticNet(),0.75,0.5,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 0.75, 'reg__estimator__l1_ratio': 0.5}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,ElasticNet()
25,25,0.1126929759979248,0.018280093888319315,0.029846000671386718,0.00896859688967475,ElasticNet(),0.75,0.75,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 0.75, 'reg__estimator__l1_ratio': 0.75}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,ElasticNet()
26,26,1.8865592002868652,0.06266108858814896,0.023247480392456055,0.0033031637728175318,ElasticNet(),1.0,0.0,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 1.0, 'reg__estimator__l1_ratio': 0.0}",-0.1786894237200704,-0.18158694309321483,-0.1886708233581696,-0.1745626795010032,-0.17911446898090005,0.1805248677306716,0.004655971756707568,40,ElasticNet()
27,27,0.10631332397460938,0.020665368362452002,0.038489246368408205,0.02127816348109229,ElasticNet(),1.0,0.25,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 1.0, 'reg__estimator__l1_ratio': 0.25}",-0.3858243882409138,-0.3648071737940788,-0.36710220149227385,-0.3703632162088329,-0.4090810691517377,0.3794356097775674,0.016541355301667924,101,ElasticNet()
28,28,0.11164822578430175,0.02995092497858537,0.02673206329345703,0.005810037076789673,ElasticNet(),1.0,0.5,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 1.0, 'reg__estimator__l1_ratio': 0.5}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,ElasticNet()
29,29,0.14418888092041016,0.027316633048086913,0.04736270904541016,0.02109929379761211,ElasticNet(),1.0,0.75,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 1.0, 'reg__estimator__l1_ratio': 0.75}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,ElasticNet()
30,30,1.9999564170837403,0.12063344032811718,0.026358747482299806,0.00482489191270551,ElasticNet(),1.25,0.0,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 1.25, 'reg__estimator__l1_ratio': 0.0}",-0.18658342286432605,-0.18717115371548598,-0.192700043753922,-0.1821553700448193,-0.1882561142690096,0.18737322092951259,0.0033777247386141047,41,ElasticNet()
31,31,0.10530509948730468,0.015555386328548906,0.03466143608093262,0.017954979492453723,ElasticNet(),1.25,0.25,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 1.25, 'reg__estimator__l1_ratio': 0.25}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,ElasticNet()
